,Epoch,Accuracy,Average_loss
0,1,70.66,1.02726
1,2,74.25,0.81092
2,3,76.05,0.73924
3,4,76.69,0.6993
4,5,77.07,0.68327
5,6,77.22,0.66898
6,7,77.68,0.65719
7,8,77.91,0.64169
8,9,77.69,0.64063
9,10,78.2,0.62934
10,11,78.24,0.62967
11,12,78.75,0.6123
12,13,78.71,0.61258
13,14,78.82,0.61076
14,15,79.27,0.59777
15,16,78.87,0.60892
16,17,78.96,0.60274
17,18,79.15,0.60059
18,19,78.83,0.61015
19,20,79.22,0.59161
20,21,79.32,0.59594
21,22,79.44,0.58533
22,23,78.92,0.59222
23,24,79.62,0.58596
24,25,79.07,0.58968
25,26,79.44,0.5851
26,27,79.49,0.5832
27,28,79.36,0.58289
28,29,79.81,0.581
29,30,79.46,0.58074
30,31,79.55,0.58468
31,32,79.89,0.575
32,33,79.69,0.57626
33,34,79.24,0.5848
34,35,80.04,0.57257
35,36,79.39,0.58363
36,37,79.74,0.57351
37,38,79.86,0.57083
38,39,79.79,0.57706
39,40,79.63,0.57697
40,41,79.87,0.57103
41,42,80.25,0.56398
42,43,79.58,0.57386
43,44,80.06,0.56761
44,45,80.03,0.57345
45,46,79.82,0.57543
46,47,79.7,0.57171
47,48,79.6,0.57579
48,49,80.14,0.56981
49,50,80.2,0.56209
