,Epoch,Accuracy,Average_loss
0,1,52.24,2.05608
1,2,53.67,2.24152
2,3,54.42,2.37738
3,4,55.06,2.47801
4,5,54.89,2.5898
5,6,55.48,2.65845
6,7,55.61,2.73461
7,8,55.46,2.80068
8,9,55.81,2.84626
9,10,56.02,2.89739
10,11,55.87,2.95481
11,12,55.91,3.00324
12,13,56.21,3.03399
13,14,56.07,3.07964
14,15,56.09,3.13218
15,16,55.93,3.17182
16,17,56.36,3.19341
17,18,56.33,3.23445
18,19,56.61,3.25827
19,20,56.17,3.3004
20,21,56.43,3.32125
21,22,56.28,3.36162
22,23,56.29,3.38449
23,24,56.03,3.41521
24,25,56.73,3.41759
25,26,56.42,3.45364
26,27,56.32,3.47509
27,28,56.5,3.49456
28,29,56.54,3.52176
29,30,56.57,3.5194
30,31,56.52,3.54403
31,32,56.6,3.58096
32,33,56.7,3.59425
33,34,56.51,3.61309
34,35,56.61,3.6388
35,36,56.41,3.66293
36,37,56.88,3.64926
37,38,56.41,3.69313
38,39,56.97,3.69609
39,40,56.69,3.72932
40,41,56.86,3.73952
41,42,56.45,3.75509
42,43,56.94,3.74988
43,44,56.9,3.76382
44,45,56.7,3.80018
45,46,56.88,3.80618
46,47,56.94,3.83592
47,48,56.7,3.85551
48,49,56.64,3.88076
49,50,57.02,3.87549
50,51,56.87,3.87876
51,52,56.79,3.89734
52,53,56.73,3.92267
53,54,56.71,3.92962
54,55,57.16,3.93548
55,56,57.02,3.95199
56,57,56.74,3.9609
57,58,57.06,3.96896
58,59,56.77,3.99733
59,60,56.88,4.00122
60,61,56.63,4.03361
61,62,56.8,4.02993
62,63,56.81,4.05716
63,64,56.65,4.07367
64,65,56.44,4.07116
65,66,57.04,4.05166
66,67,56.9,4.06215
67,68,56.81,4.07827
68,69,56.98,4.09422
69,70,56.85,4.10396
70,71,57.1,4.10812
71,72,56.73,4.12925
72,73,57.08,4.14662
73,74,57.0,4.16529
74,75,56.92,4.17119
75,76,56.59,4.18563
76,77,56.78,4.19326
77,78,56.95,4.18548
78,79,56.83,4.18963
79,80,56.96,4.22362
80,81,57.28,4.22153
81,82,56.82,4.21527
82,83,56.8,4.22267
83,84,56.95,4.23505
84,85,57.12,4.24812
85,86,57.0,4.25966
86,87,57.09,4.26258
87,88,56.8,4.26197
88,89,56.99,4.28241
89,90,57.1,4.28639
90,91,56.81,4.32057
91,92,56.86,4.30867
92,93,56.9,4.31649
93,94,57.02,4.31035
94,95,56.99,4.29629
95,96,56.86,4.33326
96,97,57.04,4.3403
97,98,56.86,4.34425
98,99,57.24,4.34461
99,100,57.21,4.35926
