,Epoch,Accuracy,Average_loss
0,1,58.55,3.42666
1,2,57.1,3.77612
2,3,61.08,3.85481
3,4,61.72,4.26573
4,5,61.5,4.34348
5,6,60.9,4.32333
6,7,60.55,4.83748
7,8,61.47,5.02538
8,9,61.84,5.28105
9,10,61.64,5.57895
10,11,60.66,6.11317
11,12,61.44,6.09024
12,13,62.43,5.9559
13,14,61.26,6.21054
14,15,62.44,6.27175
15,16,62.02,6.65325
16,17,62.02,6.36585
17,18,61.8,6.81548
18,19,62.19,7.04542
19,20,61.99,7.4673
20,21,62.57,7.62114
21,22,62.44,7.83953
22,23,62.24,7.96164
23,24,62.12,7.79261
24,25,61.97,8.35061
25,26,61.82,8.45759
26,27,62.42,8.46126
27,28,62.01,8.54363
28,29,62.16,8.7883
29,30,62.17,9.07455
30,31,62.14,9.01802
31,32,62.34,9.00086
32,33,61.85,9.49376
33,34,62.03,9.59654
34,35,62.48,9.6005
35,36,62.46,9.8593
36,37,62.04,9.7453
37,38,62.4,9.77297
38,39,62.5,9.72528
39,40,62.51,10.17441
40,41,62.29,10.06867
41,42,62.03,10.00425
42,43,62.29,10.72494
43,44,62.29,10.58837
44,45,62.33,10.81994
45,46,62.16,10.52354
46,47,62.46,10.78044
47,48,62.11,10.93686
48,49,62.6,11.10972
49,50,61.66,11.25368
50,51,62.09,11.42558
51,52,62.78,11.41185
52,53,62.09,11.19593
53,54,61.72,11.50216
54,55,62.16,11.3839
55,56,62.1,11.68755
56,57,62.25,11.96107
57,58,62.05,12.14217
58,59,62.87,11.80672
59,60,62.13,12.13016
60,61,62.06,12.12274
61,62,62.46,12.08409
62,63,62.57,12.57017
63,64,61.53,12.35023
64,65,62.29,12.70944
65,66,62.41,12.54833
66,67,62.28,12.55957
67,68,62.48,12.88648
68,69,62.67,12.85119
69,70,62.59,12.85013
70,71,62.26,13.08347
71,72,62.24,13.09257
72,73,62.22,13.34997
73,74,62.28,13.51639
74,75,62.13,13.67356
75,76,62.24,13.32372
76,77,62.49,13.88592
77,78,62.18,14.17682
78,79,62.26,14.46008
79,80,62.66,13.85412
80,81,62.62,13.97589
81,82,62.69,14.27882
82,83,61.95,13.58977
83,84,62.43,13.88407
84,85,62.19,14.46451
85,86,61.91,14.48551
86,87,62.22,14.49764
87,88,62.69,14.91999
88,89,62.65,14.81089
89,90,62.3,14.70157
90,91,62.25,14.9489
91,92,62.94,15.04909
92,93,62.51,15.17225
93,94,62.34,14.94596
94,95,62.34,15.45989
95,96,62.22,15.03198
96,97,62.65,15.1722
97,98,62.3,14.91517
98,99,62.87,14.66257
99,100,62.75,15.04373
100,101,62.39,15.88019
101,102,62.12,15.73904
102,103,62.42,15.39955
103,104,62.05,15.23548
104,105,62.89,15.821
105,106,62.24,15.4703
106,107,62.02,15.50813
107,108,62.73,15.88676
108,109,62.55,15.84699
109,110,62.28,15.29754
110,111,63.02,15.38793
111,112,62.24,15.17629
